1 2 3
1 7 340
1 8 540
1 10 7
1 11 10
1 12 62
1 15 43
1 16 163
1 19 7
1 20 640
1 21 6
1 22 435
1 25 58
1 26 854
1 27 12
1 28 284
1 32 2
1 33 60
1 34 649
1 39 3
1 41 44
1 42 78
1 46 120
2 8 1
2 7 2
3 33 170
3 34 9
3 35 55
3 4 1396
3 17 15
3 18 44
3 23 2061
3 24 1488
3 25 168
3 26 245
3 36 102
4 5 1651
4 6 13
4 17 1073
4 18 820
4 19 726
4 20 451
4 21 14
4 22 172
4 23 1954
4 24 1331
4 25 17980
4 26 16419
4 27 1913
4 28 3744
4 33 1365
4 34 1616
4 35 3085
4 36 2338
4 38 101
4 41 135
4 42 435
4 43 2740
4 44 1492
5 13 22
5 19 400
5 20 207
5 21 1605
5 22 585
5 25 2965
5 26 1400
5 27 11873
5 28 11000
5 29 1484
5 30 1230
5 31 201
5 32 33
5 35 3913
5 36 3505
5 37 396
5 38 82
5 39 16
5 40 2
5 41 567
5 42 328
5 47 2936
5 48 2363
6 33 75
6 34 20
6 8 37
6 15 2
6 16 322
6 17 491
6 18 229
6 19 235
6 20 561
6 26 600
7 33 961
7 37 32
7 39 8
7 41 425
7 15 2593
7 17 21
7 19 1655
7 21 457
7 25 1710
7 27 289
8 32 9
8 38 156
8 40 6
8 42 186
8 34 985
8 46 65
8 16 4835
8 20 3678
8 22 728
8 26 4037
8 28 594
10 12 8
11 13 28
12 14 1
13 37 8
13 41 2
13 15 89
13 19 82
13 21 8
13 25 74
13 27 9
14 38 44
14 16 175
14 20 207
14 22 14
14 26 173
14 28 43
15 37 854
15 39 63
15 41 479
15 17 145
15 19 7815
15 21 709
15 25 7444
15 33 1257
15 27 575
16 32 7
16 34 914
16 38 1229
16 42 147
16 43 2
16 46 17
16 17 10
16 18 62
16 19 12
16 20 9855
16 22 993
16 40 5
16 25 2
16 26 9748
16 28 1017
17 33 2374
17 34 1244
17 41 395
17 42 4
17 43 1670
17 44 93
17 18 3289
17 19 2795
17 20 604
17 23 1146
17 25 2826
17 26 953
17 27 3
17 28 5
17 35 62
18 33 321
18 34 2752
18 41 3
18 42 23
18 43 790
18 44 1523
18 19 148
18 20 1681
18 24 669
18 25 333
18 26 2285
18 27 3
18 28 34
19 20 191
19 21 2050
19 23 171
19 25 16241
19 26 872
19 27 2933
19 28 8
19 33 2545
19 34 4
19 37 192
19 39 65
19 41 1014
19 43 1123
19 44 10
19 45 4
20 22 2067
20 25 52
20 26 16595
20 27 3
20 28 3672
20 32 8
20 33 104
20 34 2153
20 36 12
20 38 283
20 40 24
20 41 3
20 42 203
20 43 272
20 44 371
21 27 6373
21 37 1316
21 33 1164
21 41 516
21 45 5
21 25 2264
21 47 42
21 28 137
21 29 434
21 39 1434
21 31 277
22 32 1048
22 34 1987
22 38 1045
22 48 37
22 40 1480
22 42 469
22 46 130
22 26 4352
22 28 7600
22 30 509
23 33 1114
23 35 40
23 41 828
23 43 757
23 25 5244
24 34 702
24 42 57
24 44 667
24 36 1
24 26 5193
25 26 10690
25 27 6102
25 28 3287
25 33 8284
25 34 713
25 35 1332
25 36 32
25 37 682
25 39 288
25 41 4937
25 43 3073
25 44 288
25 45 11
26 27 1373
26 28 10921
26 32 48
26 33 605
26 34 12269
26 36 281
26 38 317
26 40 600
26 42 9820
26 43 2428
26 44 1995
26 46 180
27 28 4378
27 29 5426
27 31 541
27 33 678
27 35 1840
27 36 1027
27 37 1377
27 39 1232
27 41 6303
27 45 1
27 47 3248
28 29 1
28 30 5351
28 32 740
28 34 1798
28 35 1862
28 36 2384
28 37 45
28 38 1170
28 40 1333
28 42 7805
28 46 63
28 47 674
28 48 2588
29 33 4
29 39 56
29 41 7031
29 47 1848
29 31 304
30 32 298
30 34 23
30 35 17
30 36 5
30 40 44
30 42 5616
30 48 2878
31 33 363
31 39 324
31 41 65
31 45 11
31 47 597
32 34 715
32 35 12
32 48 365
32 42 64
32 40 543
33 34 591
33 35 78
33 39 116
33 41 2922
33 43 830
33 44 21
33 45 105
34 40 210
34 42 5925
34 43 704
34 44 1074
34 46 648
35 43 74
35 47 160
35 48 272
35 36 2029
36 47 202
36 48 255
37 39 597
38 40 286
40 48 107
40 42 18
40 46 83
41 47 1040
41 43 2
41 45 5
42 46 9
42 48 2286
43 44 1049
