1 2 3
1 7 460
1 8 604
1 10 11
1 11 92
1 12 40
1 15 34
1 16 10
1 19 228
1 20 6
1 21 35
1 22 254
1 25 231
1 26 32
1 27 23
1 28 63
1 30 5
1 32 33
1 33 61
1 34 141
1 38 10
1 40 40
1 41 9
1 42 90
1 46 46
2 8 2
2 10 2
3 33 22
3 34 189
3 35 48
3 4 1693
3 44 373
3 17 24
3 18 360
3 23 1087
3 24 1920
3 25 75
3 26 581
3 36 34
4 5 3141
4 6 19
4 8 1
4 14 22
4 16 77
4 17 252
4 18 1274
4 19 665
4 20 1436
4 21 448
4 22 1103
4 23 1843
4 24 1905
4 25 16758
4 26 18143
4 27 2390
4 28 4975
4 33 1342
4 34 1137
4 35 2920
4 36 2066
4 37 546
4 38 92
4 39 90
4 40 122
4 41 107
4 42 260
4 43 1338
4 44 2298
5 8 274
5 14 122
5 16 1508
5 19 369
5 20 3322
5 21 1332
5 22 2401
5 25 2141
5 26 4546
5 27 11846
5 28 14726
5 29 2072
5 30 1058
5 31 127
5 32 1
5 34 211
5 35 3429
5 36 4108
5 37 1028
5 38 218
5 39 84
5 40 81
5 41 470
5 42 200
5 47 2155
5 48 2288
6 33 306
6 34 53
6 7 2
6 42 42
6 43 39
6 46 1
6 15 64
6 17 845
6 18 201
6 19 401
6 20 77
6 25 216
6 26 43
7 33 597
7 37 37
7 41 143
7 15 3679
7 17 4
7 19 3298
7 21 826
7 25 3304
7 27 476
8 32 176
8 38 558
8 40 188
8 42 1203
8 34 2222
8 46 212
8 16 3252
8 20 2018
8 21 60
8 22 1991
8 25 28
8 26 2496
8 27 112
8 28 1074
8 30 6
8 37 48
11 13 20
13 19 49
13 25 49
13 15 63
14 38 72
14 39 6
14 40 30
14 16 136
14 20 268
14 21 19
14 22 114
14 25 14
14 26 274
14 27 42
14 28 189
14 37 15
15 37 912
15 39 27
15 41 18
15 17 87
15 19 8107
15 21 801
15 25 7620
15 33 407
15 27 482
16 17 19
16 18 21
16 19 14
16 20 10625
16 21 244
16 22 2233
16 25 328
16 26 11054
16 27 715
16 28 2705
16 32 48
16 34 2839
16 37 257
16 38 1354
16 39 16
16 40 443
16 42 1389
16 46 152
17 33 3874
17 34 1572
17 41 11
17 42 668
17 43 1683
17 44 55
17 46 2
17 18 3867
17 19 2142
17 20 1400
17 23 1135
17 25 2752
17 26 1241
17 35 5
18 33 2108
18 34 2959
18 42 847
18 43 79
18 44 1183
18 46 8
18 19 199
18 20 1474
18 23 1
18 24 545
18 25 970
18 26 2475
19 20 567
19 21 2859
19 22 20
19 25 16141
19 26 232
19 27 3366
19 28 26
19 33 2664
19 37 488
19 39 252
19 41 211
19 43 783
19 44 17
19 45 3
20 21 369
20 22 3578
20 25 1730
20 26 19856
20 27 1314
20 28 6073
20 33 514
20 34 2489
20 37 368
20 38 1044
20 39 48
20 40 541
20 42 1146
20 43 344
20 44 275
20 46 108
21 22 208
21 25 3742
21 26 389
21 27 7006
21 28 657
21 29 223
21 31 208
21 33 1220
21 34 58
21 37 1092
21 38 16
21 39 1276
21 40 2
21 41 388
21 42 6
21 45 1
21 47 55
22 25 666
22 26 6253
22 27 914
22 28 8579
22 30 788
22 32 910
22 34 2282
22 37 187
22 38 2183
22 39 26
22 40 1928
22 42 2086
22 46 12
22 48 35
23 33 828
23 34 1
23 41 459
23 42 1
23 43 824
23 35 58
23 25 5438
23 26 11
24 34 724
24 42 275
24 44 688
24 36 20
24 26 5776
25 26 10540
25 27 7465
25 28 3657
25 31 3
25 33 10238
25 34 65
25 35 1218
25 36 2
25 37 297
25 38 53
25 39 725
25 40 58
25 41 8860
25 42 40
25 43 2684
25 44 1125
25 45 10
26 27 1779
26 28 13098
26 32 109
26 33 805
26 34 11385
26 35 10
26 36 316
26 37 387
26 38 2006
26 39 50
26 40 1319
26 42 11507
26 43 533
26 44 1725
26 46 147
26 48 15
27 28 6896
27 29 3276
27 31 618
27 33 2005
27 34 68
27 35 1968
27 36 2275
27 37 1512
27 38 75
27 39 1173
27 40 54
27 41 5267
27 42 6
27 45 5
27 47 3577
27 48 65
28 29 190
28 30 6410
28 31 39
28 32 549
28 34 1294
28 35 1831
28 36 3128
28 37 524
28 38 2187
28 39 60
28 40 1698
28 42 8389
28 47 118
28 48 3760
29 35 160
29 36 166
29 41 4472
29 47 1760
29 48 12
29 31 259
30 32 531
30 34 111
30 40 208
30 42 5726
30 48 2434
31 33 242
31 35 66
31 36 66
31 39 288
31 41 131
31 45 19
31 47 692
31 48 6
32 34 632
32 48 108
32 42 205
32 46 1
32 40 489
33 34 775
33 39 66
33 41 4737
33 42 362
33 43 1058
33 44 601
33 45 89
34 37 38
34 38 235
34 40 361
34 42 9573
34 43 21
34 44 825
34 46 639
34 48 7
35 41 1
35 47 31
35 48 572
35 36 2576
36 47 31
36 48 301
37 38 15
37 40 3
37 42 4
37 39 209
38 39 3
38 40 495
38 42 335
39 41 1
40 48 10
40 42 429
40 46 1
41 45 1
41 47 1167
42 43 11
42 44 26
42 46 130
42 48 2029
43 44 319
47 48 50
