1 34 975
1 4 111
1 5 8
1 38 7
1 7 1035
1 40 2
1 9 24
1 10 14
1 11 34
1 12 31
1 2 316
1 15 204
1 16 1132
1 8 1326
1 20 547
1 22 389
1 25 70
1 26 502
1 28 204
1 42 15
1 36 2
2 34 125
2 4 106
2 7 465
2 8 497
2 10 5
2 15 22
2 16 146
2 20 133
2 22 4
2 25 102
2 26 134
2 28 1
3 35 2
3 4 1666
3 17 10
3 18 33
3 23 1319
3 24 3240
3 25 10
3 26 117
3 36 556
4 5 3647
4 6 13
4 7 75
4 8 685
4 15 1
4 16 4587
4 17 561
4 18 1367
4 19 1247
4 20 7502
4 21 872
4 22 4550
4 23 651
4 24 2175
4 25 17376
4 26 20972
4 27 3029
4 28 8306
4 30 15
4 32 156
4 33 403
4 34 2116
4 35 6084
4 36 11967
4 37 83
4 38 299
4 40 689
4 41 1084
4 42 1634
4 43 164
4 44 257
4 48 15
5 6 50
5 8 4
5 15 56
5 16 77
5 19 640
5 20 159
5 21 2090
5 22 2925
5 25 671
5 26 262
5 27 9077
5 28 14509
5 29 1655
5 30 3589
5 31 95
5 32 439
5 33 73
5 34 769
5 35 3993
5 36 6256
5 37 505
5 38 51
5 39 32
5 40 232
5 41 1083
5 42 5636
5 46 2
5 47 3751
5 48 2375
6 33 691
6 41 12
6 17 1305
6 19 814
6 20 95
6 25 30
7 33 9
7 8 741
7 42 1
7 34 97
7 15 575
7 16 177
7 20 127
7 21 1
7 22 1
7 25 71
7 26 127
7 28 1
7 31 1
8 42 15
8 34 1278
8 15 8
8 16 1958
8 20 1354
8 22 499
8 25 375
8 26 1258
8 28 310
8 36 3
9 10 2
9 11 3
10 12 2
10 14 2
11 13 3
15 34 1
15 39 324
15 41 2157
15 31 186
15 16 11
15 19 3673
15 20 5
15 21 1630
15 25 2949
15 33 3099
15 27 688
15 26 5
15 37 700
16 17 74
16 18 4
16 19 142
16 20 8124
16 22 1640
16 25 1803
16 26 7975
16 28 1541
16 32 40
16 34 3354
16 36 127
16 38 1109
16 40 58
16 42 202
16 43 58
17 33 1429
17 34 116
17 41 57
17 42 93
17 43 189
17 18 915
17 19 1300
17 20 933
17 23 670
17 25 1132
17 26 711
18 33 52
18 34 1009
18 42 411
18 43 1
18 44 87
18 19 46
18 20 2532
18 24 147
18 25 1053
18 26 3688
18 28 2
19 33 4485
19 34 57
19 35 162
19 39 214
19 41 3494
19 42 41
19 20 341
19 21 2322
19 25 12540
19 26 1198
19 27 3549
19 28 646
19 37 144
19 36 737
20 22 2713
20 25 2929
20 26 13703
20 28 3468
20 33 153
20 34 2826
20 36 478
20 38 7
20 40 15
20 42 842
20 43 79
20 44 17
21 33 1885
21 35 110
21 36 954
21 37 1577
21 41 2651
21 39 1698
21 27 4836
21 25 1269
21 26 418
21 47 57
21 28 948
21 29 406
21 31 157
22 32 557
22 48 23
22 34 1793
22 36 560
22 38 338
22 40 1006
22 42 217
22 46 25
22 30 325
22 25 250
22 26 1136
22 28 6840
23 33 436
23 41 25
23 43 296
23 25 2043
24 34 497
24 42 210
24 36 1489
24 26 2127
25 26 7546
25 27 4673
25 28 1059
25 33 7383
25 34 904
25 35 5280
25 36 3080
25 37 206
25 39 103
25 41 10593
25 42 177
25 43 789
25 44 68
26 27 1534
26 28 4567
26 33 42
26 34 12119
26 35 858
26 36 9617
26 37 73
26 42 7226
26 43 105
26 44 350
27 33 659
27 35 3669
27 36 3956
27 39 697
27 31 62
27 41 11655
27 47 3190
27 28 3674
27 29 5598
27 37 1295
28 29 4
28 30 2121
28 32 440
28 34 1975
28 35 2490
28 36 8234
28 37 83
28 38 305
28 40 834
28 42 9703
28 46 2
28 47 1083
28 48 2161
29 33 111
29 35 17
29 36 4
29 41 6564
29 47 1437
29 31 164
30 32 54
30 34 11
30 36 48
30 42 4388
30 48 3302
31 33 290
31 35 6
31 41 10
31 39 251
31 47 123
32 48 4
32 34 634
32 38 1
32 40 788
32 46 2
33 35 64
33 37 45
33 39 441
33 41 5453
33 43 11
33 45 34
33 47 54
34 36 287
34 40 354
34 42 6092
34 46 71
34 48 1
35 36 2727
35 41 25
35 42 1354
35 47 952
35 48 1
35 37 1
36 37 83
36 38 6
36 40 21
36 42 2820
36 47 1068
36 48 229
37 39 439
37 41 630
38 40 312
39 41 827
40 46 28
41 43 47
41 47 663
42 48 2279
